,Unnamed: 0,utterance,intent,label
0,0,I am still waiting on my card?,Card Arrival.,0
1,1,What can I do if my card still hasn't arrived after 2 weeks?,Card Arrival.,0
2,2,I have been waiting over a week. Is the card still coming?,Card Arrival.,0
3,3,Can I track my card while it is in the process of delivery?,Card Arrival.,0
4,4,"How do I know if I will get my card, or if it is lost?",Card Arrival.,0
5,5,When did you send me my new card?,Card Arrival.,0
6,6,Do you have info about the card on delivery?,Card Arrival.,0
7,7,What do I do if I still have not received my new card?,Card Arrival.,0
8,8,Does the package with my card have tracking?,Card Arrival.,0
9,9,I ordered my card but it still isn't here,Card Arrival.,0
10,10,Why has my new card still not come?,Card Arrival.,0
11,11,"I still haven't received my card after two weeks, is it lost?",Card Arrival.,0
12,12,Can you track my card for me?,Card Arrival.,0
13,13,Is there a way to track the delivery of my card?,Card Arrival.,0
14,14,It's been a week since I ordered my card and it's not here. Please help?,Card Arrival.,0
15,15,Will I be able to track the card that was sent to me?,Card Arrival.,0
16,16,I don't have my card in 1 week.  Should I be worried?,Card Arrival.,0
17,17,How do I know when my new card is going to arrive?,Card Arrival.,0
18,18,My new card has not been delivered to my home yet. What is going on?,Card Arrival.,0
19,19,It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,Card Arrival.,0
20,20,"On the card that is coming, what's the tracking info?",Card Arrival.,0
21,21,What is the status of my card's delivery?,Card Arrival.,0
22,22,Have you sent out my card yet?,Card Arrival.,0
23,23,My card isn't here yet.,Card Arrival.,0
24,24,where is my new card?,Card Arrival.,0
25,25,It's been a week since you sent my card and I still don't have it.,Card Arrival.,0
26,26,How do I track the card you sent me?,Card Arrival.,0
27,27,When will I recieve my new card?,Card Arrival.,0
28,28,When will I get my new card?,Card Arrival.,0
29,29,What is the expected delivery date for my card?,Card Arrival.,0
30,30,Is there a tracking number for the card you sent me?,Card Arrival.,0
31,31,I would like to track the card you sent to me.,Card Arrival.,0
32,32,Has my card been lost in delivery?,Card Arrival.,0
33,33,My new card hasn't came in.,Card Arrival.,0
34,34,Where is the card I ordered 2 weeks ago?,Card Arrival.,0
35,35,Can I get an update on my replacement card?,Card Arrival.,0
36,36,How long does it take for a new card to ship?,Card Arrival.,0
37,37,What's the tracking on the card you sent?,Card Arrival.,0
38,38,I haven't received my card and am worried it is lost.,Card Arrival.,0
39,39,My card still hasn't been delivered,Card Arrival.,0
40,40,I need to find out where the card is that I ordered.,Card Arrival.,0
41,41,Where is my credit card that was to be mailed?,Card Arrival.,0
42,42,I ordered my card but it hasn't been delivered yet,Card Arrival.,0
43,43,Am I able to track the card that was just sent to me?,Card Arrival.,0
44,44,Can you tell me why I haven't received my new card?,Card Arrival.,0
45,45,I'm still waiting for my new card.,Card Arrival.,0
46,46,Is my card lost? I am still waiting for it to be delivered.,Card Arrival.,0
47,47,Should I keep waiting for my card to be delivered?,Card Arrival.,0
48,48,Can I track when my card will be delivered?,Card Arrival.,0
49,49,How can I check on the status of my new card?,Card Arrival.,0
50,50,"A card has been sent to me, how do I track it?",Card Arrival.,0
51,51,Is there a way I can get my card expedited?,Card Arrival.,0
52,52,What can I do to track the card you sent me?,Card Arrival.,0
53,53,why hasnt my card come in yet?,Card Arrival.,0
54,54,How can I periodically check the delivery of the card you sent?,Card Arrival.,0
55,55,What's the reason my new card hasn't come?,Card Arrival.,0
56,56,How long does it take for me to get my new card?,Card Arrival.,0
57,57,I don't have my card after 1 week. What are my next steps?,Card Arrival.,0
58,58,I know I'm getting a new card but would like know when I can expect to receive it.,Card Arrival.,0
59,59,I want to find out what happened to my new card?,Card Arrival.,0
60,60,Was there a way for me to get tracking for that?,Card Arrival.,0
61,61,I am still waiting for my card.,Card Arrival.,0
62,62,My card hasn't arrived.,Card Arrival.,0
